maneuver_id,time_since_start,drone_name,velocity_magnitude
20260129_010825,0.5870,crazyflie,0.4974
20260129_010825,0.5875,crazyflie9,0.4610
20260129_010825,0.5898,crazyflie4,0.4975
20260129_010825,0.5943,crazyflie6,0.4974
20260129_010825,0.5998,crazyflie5,0.4941
20260129_010825,0.6001,crazyflie7,0.4977
20260129_010825,0.6002,crazyflie8,0.4972
20260129_010825,0.6081,crazyflie,0.4980
20260129_010825,0.6082,crazyflie2,0.4982
20260129_010825,0.6083,crazyflie3,0.4979
20260129_010825,0.6087,crazyflie10,0.3659
20260129_010825,0.6107,crazyflie9,0.4008
20260129_010825,0.6122,crazyflie4,0.4981
20260129_010825,0.6170,crazyflie6,0.4980
20260129_010825,0.6217,crazyflie5,0.4955
20260129_010825,0.6219,crazyflie8,0.4979
20260129_010825,0.6224,crazyflie7,0.4983
20260129_010825,0.6293,crazyflie,0.4985
20260129_010825,0.6295,crazyflie2,0.4986
20260129_010825,0.6297,crazyflie3,0.4984
20260129_010825,0.6299,crazyflie10,0.3976
20260129_010825,0.6313,crazyflie9,0.3358
20260129_010825,0.6340,crazyflie4,0.4986
20260129_010825,0.6385,crazyflie6,0.4985
20260129_010825,0.6439,crazyflie5,0.4965
20260129_010825,0.6440,crazyflie7,0.4987
20260129_010825,0.6441,crazyflie8,0.4983
20260129_010825,0.6516,crazyflie,0.4988
20260129_010825,0.6517,crazyflie2,0.4990
20260129_010825,0.6521,crazyflie3,0.4988
20260129_010825,0.6522,crazyflie10,0.4140
20260129_010825,0.6540,crazyflie9,0.2769
20260129_010825,0.6559,crazyflie4,0.4989
20260129_010825,0.6605,crazyflie6,0.4988
20260129_010825,0.6654,crazyflie5,0.4973
20260129_010825,0.6656,crazyflie7,0.4990
20260129_010825,0.6657,crazyflie8,0.4987
20260129_010825,0.6725,crazyflie2,0.4992
20260129_010825,0.6727,crazyflie3,0.4991
20260129_010825,0.6728,crazyflie10,0.4185
20260129_010825,0.6732,crazyflie,0.4991
20260129_010825,0.6749,crazyflie9,0.2367
20260129_010825,0.6773,crazyflie4,0.4991
20260129_010825,0.6819,crazyflie6,0.4991
20260129_010825,0.6884,crazyflie5,0.4979
20260129_010825,0.6886,crazyflie7,0.4992
20260129_010825,0.6888,crazyflie8,0.4990
20260129_010825,0.6961,crazyflie,0.4993
20260129_010825,0.6962,crazyflie2,0.4994
20260129_010825,0.6963,crazyflie3,0.4993
20260129_010825,0.6968,crazyflie10,0.4120
20260129_010825,0.6982,crazyflie9,0.2053
